"id","hip","hd","hr","gl","bf","proper","ra","dec","dist","pmra","pmdec","rv","mag","absmag","spect","ci","x","y","z","vx","vy","vz","rarad","decrad","pmrarad","pmdecrad","bayer","flam","con","comp","comp_primary","base","lum","var","var_min","var_max"
60530,60718,108248,4730,"",Alp1Cru,アクルックス,12.443311,-63.099092,98.7167,-35.37,-14.73,-11.0,0.77,-4.202,B0.5IV,-0.243,-44.363755,-5.171957,-88.034513,0.00000934,0.00001813,0.00000684,3.2576512815622607,-1.1012869028642311,-0.0000001714785988,-0.000000071413055,Alp-1,"",Cru,1,60530,"",4176.379929509739,"",,
62239,62434,111123,4853,"",Bet Cru,ミモザ,12.795359,-59.688764,85.3971,-48.24,-12.82,16.0,1.25,-3.407,B0.5III,-0.238,-42.168771,-8.909619,-73.723149,-0.00000773,0.00001878,-0.00001681,3.349817026601454,-1.0417654498397388,-0.0000002338741195,-0.000000062153113,Bet,"",Cru,1,62239,"",2008.1678041839857,Bet,1.267,1.237
65269,65474,116658,5056,"","67Alp Vir",スピカ,13.419883,-11.161322,76.5697,-42.5,-31.73,1.0,0.98,-3.44,B1V,-0.235,-69.990853,-27.285826,-14.82176,-0.00000454,0.00001516,-0.00001175,3.5133172180991257,-0.194801818024575,-0.0000002060458142,-0.00000015383138,Alp,"67",Vir,1,65269,"",2070.1413487910413,Alp,1.001,0.961
68483,68702,122451,5267,"",Bet Cen,ハダル,14.063729,-60.373039,120.1923,-33.96,-25.06,6.0,0.61,-4.789,B1III,-0.231,-50.954051,-30.56287,-104.478695,-0.00000189,0.00002194,-0.00001255,3.681875660376148,-1.053708314075195,-0.0000001646427259,-0.000000121494308,Bet,"",Cen,1,68483,"",7171.33482657721,Bet,0.634,0.594
69451,69673,124897,5340,Gl 541,"16Alp Boo",アークトゥルス,14.26103,19.18241,11.2575,-1093.45,-1999.4,-5.0,-0.05,-0.307,K2IIIp,1.239,-8.823448,-5.932531,3.698938,-0.00005905,0.0000322,-0.00010473,3.7335290285420872,0.33479621805862125,-0.00000530119519,-0.000009693364729,Alp,"16",Boo,1,69451,"",115.55799554021293,"",,
70666,70890,,,Gl 551,"",プロキシマ・ケンタウリ,14.495985,-62.679485,1.2959,-3775.64,768.16,-16.0,11.01,15.447,M5Ve,1.807,-0.472264,-0.361451,-1.151219,-0.00001186,0.00002079,0.00001675,3.7950399168315756,-1.09396338473328,-0.0000183048192485,0.000003724144768,"","",Cen,1,70666,"",0.0000577032135333,V645,11.079,10.939
71456,71683,128620,5459,Gl 559A,Alp1Cen,リギル・ケンタウルス,14.660765,-60.833976,1.3248,-3678.19,481.84,-26.2,-0.01,4.379,G2V,0.71,-0.495203,-0.414084,-1.156625,-0.00000722,0.00002476,0.00002491,3.838179211777228,-1.0617531757704175,-0.0000178323683168,0.000002336026238,Alp-1,"",Cen,1,71456,Gl 559,1.543121065657792,"",0.113,-0.087
7574,7588,10144,472,"",Alp Eri,アケルナル,1.628556,-57.236757,42.7533,88.02,-40.08,16.0,0.45,-2.705,B3Vp,-0.158,21.065573,9.568417,-35.951967,-0.00000584,0.00001738,-0.00001826,0.42635506591376426,-0.9989698692415762,0.0000004267330016,-0.000000194313323,Alp,"",Eri,1,7574,"",1051.9618738232234,Alp,0.487,0.427
80519,80763,148478,6134,"","21Alp Sco",アンタレス,16.490128,-26.432002,169.7793,-10.16,-23.21,-3.0,1.06,-5.089,M1Ib + B2.5V,1.865,-58.542602,-140.307591,-75.574766,-0.00000338,0.0000136,-0.00001574,4.317105466000638,-0.4613254705959812,-0.0000000492570699,-0.000000112525255,Alp,"21",Sco,1,80519,"",9453.660459579653,Alp,1.155,0.995
84086,84345,156014,6406,"","64Alp1Her",ラス・アルゲティ,17.244127,14.390333,110.2536,-6.71,32.78,-33.0,2.78,-2.432,M5IIvar,1.164,-20.995512,-104.709944,27.400863,0.00000377,0.00003703,0.00000858,4.514501981353768,0.251158687566835,-0.000000032530998,0.000000158921924,Alp-1,"64",Her,1,84086,"",818.0879579457477,Alp,2.967,2.567
85665,85927,158926,6527,"","35Lam Sco",シャウラ,17.560145,-37.103821,175.1313,-8.9,-29.95,-3.0,1.62,-4.597,B1.5IV+...,-0.231,-16.048583,-138.749793,-105.649898,-0.00000546,0.00001854,-0.00001843,4.597235152451346,-0.6475838425148488,-0.0000000431484176,-0.000000145201697,Lam,"35",Sco,1,85665,"",6008.9695048348585,Lam,1.656,1.596
85769,86032,159561,6556,Gl 681,"55Alp Oph",ラサルハグェ,17.582241,12.560035,14.8965,110.08,-222.61,12.6,2.08,1.215,A5III,0.155,-1.587067,-14.453242,3.239454,0.00000615,-0.00001685,-0.00001289,4.603020022725371,0.2192139606173275,0.0000005336828996,-0.000001079243734,Alp,"55",Oph,1,85769,"",28.444611074479155,"",,
85965,86228,159532,6553,"",The Sco,サルガス,17.62198,-42.997824,92.081,6.06,-0.95,1.0,1.86,-2.961,F1II,0.406,-6.654055,-67.016643,-62.796539,0.00000265,-0.00000072,-0.00000101,4.613423665072454,-0.7504535963001288,0.000000029379709,-0.000000004605729,The,"",Sco,1,85965,"",1331.6803762699813,"",,
89906,90185,169022,6879,"","20Eps Sgr",カウス・アウストラリス,18.402868,-34.384616,43.9367,-39.61,-124.05,-15.0,1.79,-1.424,B9.5III,-0.031,3.817188,-36.057831,-24.812975,-0.00001129,0.00002654,-0.00001314,4.817859452696385,-0.6001247623494875,-0.0000001920346989,-0.00000060141137,Eps,"20",Sgr,1,89906,"",323.2957533680941,"",,
90979,91262,172167,7001,Gl 721,"3Alp Lyr",ベガ,18.61564,38.783692,7.6787,201.02,287.46,-12.1,0.03,0.604,A0Vvar,-0.001,0.960565,-5.908009,4.809731,0.00000476,0.00001734,0.00000059,4.873563095509031,0.6769031163973025,0.0000009745724607,0.000001393645406,Alp,"3",Lyr,1,90979,"",49.93441887213498,"",,
92564,92855,175191,7121,"","34Sig Sgr",ヌンキ,18.92109,-26.296722,69.8324,13.87,-52.65,-11.0,2.05,-2.17,B2.5V,-0.134,14.950858,-60.794062,-30.937099,0.00000027,0.00001858,-0.000011,4.953529829382003,-0.4589643844760175,0.0000000672436575,-0.000000255254402,Sig,"34",Sgr,1,92564,"",642.6877173170194,"",,
93213,93506,176687,7194,"","38Zet Sgr",アスケラ,19.043532,-29.880105,27.0416,-14.1,3.66,22.0,2.6,0.44,A3IV,0.062,6.326274,-22.577554,-13.471863,0.00000355,-0.00001951,-0.00001079,4.985585011861122,-0.521506218738425,-0.000000068358729,0.00000001774418,Zet,"38",Sgr,1,93213,"",58.07644175213118,"",,
97338,97649,187642,7557,Gl 768,"53Alp Aql",アルタイル,19.846388,8.868322,5.1295,536.82,385.54,-26.1,0.76,2.21,A7IV-V,0.221,2.355468,-4.4873,0.790749,-0.00000112,0.00003087,0.00000536,5.195772105546999,0.15478141706831,0.0000026025768,0.000001869150664,Alp,"53",Aql,1,97338,"",11.376272858234303,Alp,0.803,0.753
9861,9884,12929,617,Gl 84.3,"13Alp Ari",ハマル,2.119555,23.462423,20.1776,190.73,-145.77,-14.4,2.01,0.486,K2III,1.151,15.731986,9.751722,8.03361,-0.00001649,0.00001173,-0.00001894,0.554898130994913,0.4094965332621075,0.0000009246851329,-0.000000706712902,Alp,"13",Ari,1,9861,"",55.6672798150948,"",,
101767,102098,197345,7924,"","50Alp Cyg",デネブ,20.690532,45.280338,432.9004,1.56,1.55,-5.0,1.25,-6.932,A2Ia,0.092,197.250632,-232.113407,307.600832,-0.00000133,0.00000662,-0.00000134,5.416768542177067,0.790290982752855,0.0000000075630934,0.000000007514612,Alp,"50",Cyg,1,101767,"",51617.86054966733,Alp,1.294,1.224
113008,113368,216956,8728,Gl 881,"24Alp PsA",フォーマルハウト,22.960838,-29.622236,7.7036,329.22,-164.22,6.1,1.17,1.737,A3V,0.145,6.450517,-1.799476,-3.807757,0.00000561,0.0000112,-0.00000841,6.011133383906492,-0.5170055514089774,0.0000015961035991,-0.000000796161026,Alp,"24",PsA,1,113008,"",17.587333541355722,"",,
11734,11767,8890,424,"","1Alp UMi",北極星,2.52975,89.264109,132.626,44.22,-11.74,-17.0,1.97,-3.643,F7:Ib-IIv SB,0.636,1.3431,1.047629,132.614909,-0.00001171,0.00002692,-0.00001748,0.6622870748653336,1.5579526129751475,0.0000002143846095,-0.000000056917126,Alp,"1",UMi,1,11734,"",2495.743794831569,Alp,1.993,1.953






